Level 0 URI,Level 0 preferred term,Level 1 URI,Level 1 preferred term,Level 2 URI,Level 2 preferred term,Level 3 URI,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/4364e0cd-66ad-4f0c-b96d-0ea6796067cb,verzorgen van planten en gewassen,http://data.europa.eu/esco/skill/888f286e-272f-4e54-8a3b-9fa391870618,"gewassen, andere planten en bomen planten, snoeien en oogsten","Propagating and planting trees, flowers and other plants for production of food crops and other products, enhancing the environment or for scientific research. ","Examples:
- Seed the ground
- Propagate plants 
- Plant trees",S,S6,S6.4,S6.4.2
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/4364e0cd-66ad-4f0c-b96d-0ea6796067cb,verzorgen van planten en gewassen,http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,bebouwen van land en telen van gewassen,Preparing and maintaining land for agricultural or horticultural use and promoting the growth of plants.,"Examples:
- Prepare planting area
- Irrigate soil
- Spread fertiliser
- Maintain plants' growth",S,S6,S6.4,S6.4.1
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/462f8805-3c0b-43c6-8bef-592b87939763,transformeren en samenvoegen van materialen,,,"Transforming materials from one form to another by mixing, blending, heating or chemical reaction, by hand or using handheld tools and equipment.",,S,S6,S6.3
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/462f8805-3c0b-43c6-8bef-592b87939763,transformeren en samenvoegen van materialen,http://data.europa.eu/esco/skill/8066edda-60e7-4e41-966b-4be09b049ab3,voorbereiden van industriële materialen voor verwerking of gebruik,"Preparing various types of materials for further processing or for use, by employing techniques such as heating, skimming to remove impurities or immersing objects in cleaning or coating solutions.","Examples:
- Heat jewellery metals
- Heat lacquer mixture
- Prepare surface for coating",S,S6,S6.3,S6.3.3
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/462f8805-3c0b-43c6-8bef-592b87939763,transformeren en samenvoegen van materialen,http://data.europa.eu/esco/skill/bf4822d3-1f66-499d-afc9-151a9ba33e58,bereiden van mengsels en oplossingen,"Mixing and blending various types of solid or liquid materials, by hand or using handheld tools and equipment.","Examples:
- Mix paint
- Mix construction grouts
- Blend food ingredients",S,S6,S6.3,S6.3.1
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/462f8805-3c0b-43c6-8bef-592b87939763,transformeren en samenvoegen van materialen,http://data.europa.eu/esco/skill/c098d6c1-dfee-4b02-8ce5-c6d80c98e18b,transformeren en samenvoegen van materialen,"Transforming materials from one form to another by mixing, blending, heating or chemical reaction, by hand or using handheld tools and equipment.",,S,S6,S6.3,S6.3.0
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/462f8805-3c0b-43c6-8bef-592b87939763,transformeren en samenvoegen van materialen,http://data.europa.eu/esco/skill/f1612d7a-0338-4b0f-a2a4-86b5168e2596,verzamelen en voorbereiden van monsters en materialen voor testen,"Taking, preparing or preserving as required samples or specimens of products, liquids chemicals or organic materials in order for them to be ready for testing and analysis.","Examples:
- Prepare chemical samples
- Collect samples for analysis",S,S6,S6.3,S6.3.6
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/56c3ea4b-7cea-44da-969c-c21b07a55030,wassen en onderhouden van textiel en kleding,,,"Washing or cleaning clothing and other textile products by hand or using a washing or laundry machine, maintaining textile items in good order.","Excludes:
- Repairing or adjusting clothes

Examples:
- Iron textiles 
- Eliminate stains 
- Clean household linens",S,S6,S6.12
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/56c3ea4b-7cea-44da-969c-c21b07a55030,wassen en onderhouden van textiel en kleding,http://data.europa.eu/esco/skill/22d15a65-7262-4a6d-b981-53671b95ad29,wassen en onderhouden van textiel en kleding,"Washing or cleaning clothing and other textile products by hand or using a washing or laundry machine, maintaining textile items in good order.","Excludes:
- Repairing or adjusting clothes

Examples:
- Iron textiles 
- Eliminate stains 
- Clean household linens",S,S6,S6.12,S6.12.0
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/821ecf8f-3c2a-4b89-a9f1-b2aa7fb0b625,schoonmaken,,,"Cleaning buildings, work areas, equipment, machinery and vehicles.","Excludes:
- Cleaning, laundering and maintaining textiles
- Cleaning live animals",S,S6,S6.11
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/821ecf8f-3c2a-4b89-a9f1-b2aa7fb0b625,schoonmaken,http://data.europa.eu/esco/skill/2bf2c727-ee42-4fc5-a4d7-2cd62b880433,schoonmaken,"Cleaning buildings, work areas, equipment, machinery and vehicles.","Excludes:
- Cleaning, laundering and maintaining textiles
- Cleaning live animals",S,S6,S6.11,S6.11.0
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/821ecf8f-3c2a-4b89-a9f1-b2aa7fb0b625,schoonmaken,http://data.europa.eu/esco/skill/3b86c15f-3f66-4e50-abf5-544f2a942a0b,schoonmaken van plaatsen in open lucht,Cleaning outdoor public spaces such as streets or parks.,"Examples:
- Clean camping facilities
- Perform street cleaning manually",S,S6,S6.11,S6.11.3
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/821ecf8f-3c2a-4b89-a9f1-b2aa7fb0b625,schoonmaken,http://data.europa.eu/esco/skill/7a8c9402-0550-4966-9ff6-0d65b0f6b1fb,"reinigen van gereedschap, apparatuur, werkstukken en voertuigen","Performing cleaning routines after tools, equipment, machinery and vehicles have been used and cleaning workpieces during or after fabrication.","Examples:
- Clean ventilation system 
- Clean concrete pumps
- Sterilise fermentation tanks
- Clean chimneys
- Wash vehicles",S,S6,S6.11,S6.11.1
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/821ecf8f-3c2a-4b89-a9f1-b2aa7fb0b625,schoonmaken,http://data.europa.eu/esco/skill/d69e45d3-1f3f-4e6a-8933-82e949277811,reinigen van de binnen- en buitenkant van gebouwen,Cleaning interior spaces and furnishings and the exterior of buildings and similar structures.,"Excludes:
- Specialised cleaning of equipment in buildings, such as sweeping chimneys

Examples:
- Clean rooms 
- Clean train interiors
- Maintain work area cleanliness",S,S6,S6.11,S6.11.2
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/b8e142fe-e508-42b1-b037-efebcefac3a7,monteren en vervaardigen van producten,,,"Fabricating, assembling or repairing products or work aids by hand, or using hand-held tools and equipment.","Excludes:
- Operation of automated assembly equipment or machines
 -repair of building structures and mechanical, electrical, electronic products and components.

Examples:
- Assemble metal parts 
- Apply assembly techniques",S,S6,S6.5
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/b8e142fe-e508-42b1-b037-efebcefac3a7,monteren en vervaardigen van producten,http://data.europa.eu/esco/skill/2ad2ee1c-afc9-402f-91ab-c9c0911b209d,vervaardigen van precisie-instrumenten of juwelen,"Assembling, fabricating or repairing precision instruments, such as optical devices, clocks and musical instruments, by hand or using hand-held tools and equipment.","Excludes:
- Operation of automated assembly equipment
- Assembly of electrical and electronic products and components
- Fabrication of decorative objects 
- Fabrication of medical, orthotic and prosthetic devices

Examples:
- Assemble jewellery parts
- Attach pendulums
- Customise guns
- Repair musical instruments
- Centre lenses",S,S6,S6.5,S6.5.1
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/b8e142fe-e508-42b1-b037-efebcefac3a7,monteren en vervaardigen van producten,http://data.europa.eu/esco/skill/37f2f637-1f54-4ea1-b677-5ca6cac24993,vervaardigen van medische apparaten en prothesen,"Fabricating, maintaining or repairing medical, dental, orthotic or prosthetic devices.","Excludes:
- Operation of automated assembly equipment or machines
- Fabricating or repairing optical devices

Examples:
- Manufacture dental prostheses
- Create lifecasts
- Repair orthopaedic goods",S,S6,S6.5,S6.5.2
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/b8e142fe-e508-42b1-b037-efebcefac3a7,monteren en vervaardigen van producten,http://data.europa.eu/esco/skill/3eacdaa9-fe4a-49ba-a085-c798097cf8d4,produceren van tabaksproducten,Fabricating tobacco products by hand or using hand-held tools and equipment.,"Excludes:
- Operation of machinery
- Preparing and cooking food and drinks for immediate consumption

Examples:
- Cure tobacco leaves
- Flavour tobacco leaves",S,S6,S6.5,S6.5.8
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/b8e142fe-e508-42b1-b037-efebcefac3a7,monteren en vervaardigen van producten,http://data.europa.eu/esco/skill/528c2f16-139f-4a5b-8880-a6f02ed33f2a,vervaardigen van kleding en textielproducten,"Fabricating, altering and repairing garments and textile products by hand or using hand-held tools and equipment.","Excludes:
- Operation of automated assembly equipment
- Fabrication of decorative objects

Examples:
- Alter wearing apparel
- Manufacture male suits
- Repair shoes
- Sew curtains",S,S6,S6.5,S6.5.6
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/b8e142fe-e508-42b1-b037-efebcefac3a7,monteren en vervaardigen van producten,http://data.europa.eu/esco/skill/592525ab-b517-4c55-8c65-17e0f5d99205,monteren van elektrische en elektronische producten,"Assembling electrical and electronic products, excluding medical or prosthetic devices, by hand or using hand-held tools and equipment.","Excludes:
- Operation of automated assembly equipment
- Installation, repair and maintenance of devices
- Fabrication of decorative objects 
- Fabrication of medical, orthotic and prosthetic devices

Examples:
- Assemble mechatronic devices
- Assemble electrical components",S,S6,S6.5,S6.5.3
http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,vaardigheden,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,behandelen en verplaatsen,http://data.europa.eu/esco/skill/b8e142fe-e508-42b1-b037-efebcefac3a7,monteren en vervaardigen van producten,http://data.europa.eu/esco/skill/62023d5b-22ea-442e-ac46-39eb83c986fb,monteren van meubilair,Assembling and repairing furniture by hand or using hand-held tools and equipment.,"Excludes:
- Operation of automated assembly equipment
- Fabrication of decorative objects

Examples:
- Assemble prefabricated furniture
- Repair furniture frames",S,S6,S6.5,S6.5.5
