conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/05f6eaeb-b285-46bd-a44a-225bd429e329,7511,vleessnijder,"vlees snijders
vleesafsnijder",,released,2024-01-25T14:30:59.504Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Vleessnijders snijden karkassen van dieren in grote en kleinere stukken voor verdere verwerking. Zij verwijderen beenderen van voorverwerkte dieren, hetzij handmatig, hetzij met behulp van machines.",7511.4
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,2632,criminoloog,criminologe,,released,2024-01-26T12:41:01.075Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613,
http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Criminologen bestuderen omstandigheden die verband houden met mensen, zoals de sociale en psychologische aspecten die hen ertoe kunnen brengen criminele feiten te plegen. Zij observeren en analyseren verschillende factoren gaande van de gedragsomstandigheden tot de sociale achtergrond en omgeving van verdachten om organisaties te adviseren over de preventie van criminaliteit.",2632.4
Occupation,http://data.europa.eu/esco/occupation/061f56c6-36eb-4aa7-b5ef-98b7a569da1c,3521,video-operator,"video-operator
video-operatrice
beeldoperatrice
beeldoperator",,released,2023-08-08T12:44:35.879Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Video-operatoren controleren de (geprojecteerde) beelden van een performance op basis van het artistieke of creatieve concept, in interactie met de performers. Hun werk wordt beïnvloed door en beïnvloedt de resultaten van andere operatoren. Daarom werken de operatoren nauw samen met de ontwerpers, operatoren en performers. Video-operatoren doen de voorbereiding van mediafragmenten, zien toe op de opstelling, leiden de technische bemanning, programmeren de apparatuur en bedienen het videosysteem. Hun werk is gebaseerd op plannen, instructies en andere documentatie. 
 ",3521.1.4
Occupation,http://data.europa.eu/esco/occupation/062d666b-8b5f-4ff2-9047-113831eb3e9f,5223,"verkoopspecialist vis, schaal- en weekdieren","mosselman
visboer
oesterverkoopster
oesterverkoper
garnalenverkoopster
visverkoopster
vishandelaar
mosselverkoopster
mosselverkoper
visverkoper
garnalenverkoper
mosselmeid
vishandelaarster",,released,2016-12-22T11:51:46Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Deze verkoopspecialisten verkopen vis, schaal- en weekdieren in gespecialiseerde winkels. 
 ",5223.7.16
Occupation,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,1322,manager olie- en gaswinning,"directeur gasproductiebedrijf
directrice gasproductiebedrijf
afdelingsmanager olie- en gasproductie
manager olie- en gasproductie
werfleider aardolie en gas
directrice olie- en gasproductie
production manager
directeur olie- en gasproductie
directrice olie- en gaswinning
directeur olie- en gaswinning
afdelingsmanager olie- en gaswinning",,released,2024-01-26T15:05:38.779Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Managers in de olie- en gaswinning coördineren en implementeren schema’s en plannen voor de productie van olie en gas op de korte en middellange termijn, zoals boringen, winning en afvalbeheer. Zij sturen een of meer eenheden aan en houden toezicht op de uitvoering van de technische en menselijke middelen in het kader van de doelstellingen inzake omvang, kwaliteit en planning. Managers op het gebied van olie- en gaswinning ontwerpen productieplannen en -schema’s en zorgen ervoor dat deze worden gevolgd.",1322.1.2
Occupation,http://data.europa.eu/esco/occupation/06351e17-67c4-44bc-adf7-64b73f92c3b5,3117,technicus metallurgie,"onderzoeker ertskunde
mineraloge
wetenschappelijk onderzoeker metallurgie
onderzoekster ertskunde
controletechnicus metallurgie
wetenschappelijk onderzoekster metallurgie
metallurg
mineraloog
metallurge
laboratoriumtechnicus metallurgie",,released,2024-01-24T15:22:54.792Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Technici metallurgie bieden technische ondersteuning bij het onderzoeken en uitvoeren van experimenten op mineralen, metalen, legeringen, olie en gas. Zij dragen ook bij tot de verbetering van de winningsmethoden.",3117.3
Occupation,http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea,8151,operator spinnerij,"technicus textielspinnerij
technica spinnerij
textieltechnica
technica textielspinnerij
textieltechnicus
supervisor spinnerij
technicus spinnerij",,released,2023-10-30T15:13:45.112Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Technici spinnerij verrichten werkzaamheden die verband houden met het configureren van spinprocessen.,8151.3
Occupation,http://data.europa.eu/esco/occupation/0663d464-f139-4554-ae87-97aa6c4dad77,7122,vloerenlegger verende vloerbedekking,"vloerenlegger (soepele bekleding)
vloerenlegger (linoleum)
vloerenlegster (soepele bekleding)
vloerenlegster verende vloerbedekking
vloerenlegster (kurk)
vloerenlegger (kurk)
vloerenlegster (vinyl)
vloerenlegster (laminaat)
vloerenlegster (verende vloerbedekking)
vloerenlegger (vinyl)
vloerenlegster (linoleum)
vloerenlegger (laminaat)",,released,2024-01-23T11:39:05.772Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Vloerenleggers verende vloerbedekking plaatsen geprefabriceerde tegels of rollen vloerbekleding, zoals linoleum, vinyl, rubber of kurk, wat dient als vloerbekleding.",7122.3
Occupation,http://data.europa.eu/esco/occupation/0663da10-e42c-41e8-992c-07d00ac97bea,3119,kwaliteitstechnicus textiel,"laboratoriumtechnicus testing
kwaliteitsmanager textiel",,released,2023-11-13T11:13:03.659Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Kwaliteitstechnici textiel voeren fysische laboratoriumtests uit op textielmaterialen en -producten. Zij vergelijken textielmaterialen en -producten met normen en interpreteren de resultaten.,3119.16.6
Occupation,http://data.europa.eu/esco/occupation/066a9d8f-3948-409c-a3cf-ed8ed37cfe22,7516,medewerker droogschuur,"medewerkster tabakdroogschuur
tabakdroogschuurmedewerker
medewerkers tabakdroogschuur",,released,2024-01-25T14:32:50.631Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Droogschuurmedewerkers helpen bij het mengen, rijpen en gisten van tabaksstrips en -stengels voor de productie van sigaren, pruimtabak en snuiftabak.",7516.1
