conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/022,geesteswetenschappen (met uitzondering van talen),,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,022
SkillGroup,http://data.europa.eu/esco/isced-f/0220,"geesteswetenschappen (met uitzondering van talen), niet nader gedefinieerd",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0220
SkillGroup,http://data.europa.eu/esco/isced-f/0221,godsdienst en theologie,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0221
SkillGroup,http://data.europa.eu/esco/isced-f/0222,geschiedenis en archeologie,,,released,2023-10-27T15:38:51.741Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0222
SkillGroup,http://data.europa.eu/esco/isced-f/0223,filosofie en ethiek,,,released,2023-07-03T08:51:02.496Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0223
SkillGroup,http://data.europa.eu/esco/isced-f/0228,interdisciplinaire programma's en kwalificaties met betrekking tot geesteswetenschappen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,0228
SkillGroup,http://data.europa.eu/esco/isced-f/0229,"geesteswetenschappen (met uitzondering van talen), niet elders ingedeeld",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0229
SkillGroup,http://data.europa.eu/esco/isced-f/023,talen,,,released,2024-05-02T16:19:37.313Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,023
SkillGroup,http://data.europa.eu/esco/isced-f/0230,"talen, niet nader gedefinieerd",,,released,2023-10-31T16:01:49.771Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0230
SkillGroup,http://data.europa.eu/esco/isced-f/0231,taalverwerving,,,released,2024-05-02T16:19:31.349Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0231
SkillGroup,http://data.europa.eu/esco/isced-f/0232,literatuur en linguïstiek,,,released,2023-10-27T15:35:14.724Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,0232
SkillGroup,http://data.europa.eu/esco/isced-f/0239,"talen, niet elders ingedeeld",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0239
SkillGroup,http://data.europa.eu/esco/isced-f/028,interdisciplinaire programma's en kwalificaties met betrekking tot kunst en geesteswetenschappen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,028
SkillGroup,http://data.europa.eu/esco/isced-f/0288,interdisciplinaire programma's en kwalificaties met betrekking tot kunst en geesteswetenschappen,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0288
SkillGroup,http://data.europa.eu/esco/isced-f/029,"kunst en geesteswetenschappen, niet elders ingedeeld",,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,029
SkillGroup,http://data.europa.eu/esco/isced-f/0299,"kunst en geesteswetenschappen, niet elders ingedeeld",,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0299
SkillGroup,http://data.europa.eu/esco/isced-f/03,"sociale wetenschappen, journalistiek en informatiewetenschappen",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,03
SkillGroup,http://data.europa.eu/esco/isced-f/030,"sociale wetenschappen, journalistiek en informatiewetenschappen, niet nader gedefinieerd",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,030
SkillGroup,http://data.europa.eu/esco/isced-f/0300,"sociale wetenschappen, journalistiek en informatiewetenschappen, niet nader gedefinieerd",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0300
SkillGroup,http://data.europa.eu/esco/isced-f/031,sociale en gedragswetenschappen,,,released,2024-05-02T16:18:48.295Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,031
SkillGroup,http://data.europa.eu/esco/isced-f/0310,"sociale en gedragswetenschappen, niet nader gedefinieerd",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0310
SkillGroup,http://data.europa.eu/esco/isced-f/0311,economie,,,released,2023-07-03T12:57:32.51Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0311
SkillGroup,http://data.europa.eu/esco/isced-f/0312,politieke wetenschappen en maatschappijleer,,,released,2024-01-29T16:20:43.56Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,0312
SkillGroup,http://data.europa.eu/esco/isced-f/0313,psychologie,,,released,2023-07-03T12:46:46.382Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0313
SkillGroup,http://data.europa.eu/esco/isced-f/0314,sociologie en culturele studies,,,released,2023-07-04T12:56:24.33Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0314
SkillGroup,http://data.europa.eu/esco/isced-f/0319,"sociale en gedragswetenschappen, niet elders ingedeeld",,,released,2024-05-02T16:18:42.048Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,0319
SkillGroup,http://data.europa.eu/esco/isced-f/032,journalistiek en informatiewetenschappen,,,released,2023-07-03T07:24:08.118Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,032
SkillGroup,http://data.europa.eu/esco/isced-f/0320,"journalistiek en informatiewetenschappen, niet nader gedefinieerd",,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0320
SkillGroup,http://data.europa.eu/esco/isced-f/0321,journalistiek en verslaggeving,,,released,2023-07-03T07:23:44.668Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,0321
SkillGroup,http://data.europa.eu/esco/isced-f/0322,"bibliotheekwetenschappen, informatiewetenschappen en archivistiek",,,released,2023-10-27T15:38:41.87Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0322
SkillGroup,http://data.europa.eu/esco/isced-f/0329,"journalistiek en informatiewetenschappen, niet elders ingedeeld",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,0329
SkillGroup,http://data.europa.eu/esco/isced-f/038,"interdisciplinaire programma's en kwalificaties met betrekking tot sociale wetenschappen, journalistiek en informatiewetenschappen",,,released,2024-05-02T16:18:23.595Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,038
SkillGroup,http://data.europa.eu/esco/isced-f/0388,"interdisciplinaire programma's en kwalificaties met betrekking tot sociale wetenschappen, journalistiek en informatiewetenschappen",,,released,2024-05-02T16:18:17.042Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0388
SkillGroup,http://data.europa.eu/esco/isced-f/039,"sociale wetenschappen, journalistiek en informatiewetenschappen, niet elders ingedeeld",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,039
